iter	Passed	Remaining
0	169	169695
1	194	97291
2	215	71645
3	236	58889
4	243	48399
5	266	44122
6	287	40743
7	308	38216
8	331	36469
9	351	34808
10	398	35819
11	425	34994
12	445	33796
13	468	32982
14	491	32262
15	512	31528
16	534	30885
17	554	30259
18	572	29548
19	596	29208
20	617	28766
21	634	28223
22	651	27661
23	669	27242
24	692	27014
25	713	26735
26	735	26505
27	759	26356
28	783	26223
29	801	25924
30	823	25741
31	843	25525
32	866	25393
33	887	25228
34	909	25084
35	929	24899
36	950	24735
37	972	24622
38	994	24507
39	1015	24366
40	1035	24212
41	1060	24186
42	1095	24384
43	1123	24410
44	1143	24266
45	1162	24118
46	1188	24094
47	1208	23969
48	1229	23867
49	1252	23792
50	1273	23703
51	1295	23616
52	1319	23569
53	1338	23451
54	1358	23342
55	1380	23277
56	1400	23167
57	1421	23092
58	1446	23075
59	1465	22964
60	1485	22871
61	1509	22832
62	1529	22743
63	1551	22690
64	1573	22635
65	1593	22546
66	1613	22468
67	1635	22419
68	1657	22368
69	1680	22321
70	1702	22276
71	1722	22201
72	1743	22143
73	1765	22090
74	1785	22024
75	1806	21964
76	1825	21885
77	1851	21885
78	1872	21830
79	1892	21765
80	1916	21741
81	1935	21673
82	1955	21607
83	1980	21601
84	2003	21563
85	2022	21499
86	2046	21478
87	2066	21417
88	2086	21360
89	2112	21363
90	2133	21311
91	2152	21241
92	2173	21197
93	2192	21136
94	2214	21098
95	2236	21058
96	2256	21009
97	2277	20961
98	2296	20903
99	2317	20858
100	2338	20819
101	2358	20761
102	2381	20743
103	2403	20709
104	2424	20663
105	2445	20626
106	2466	20588
107	2485	20530
108	2509	20510
109	2527	20453
110	2549	20419
111	2571	20389
112	2591	20340
113	2619	20358
114	2652	20416
115	2687	20481
116	2723	20554
117	2756	20605
118	2795	20694
119	2831	20762
120	2861	20790
121	2882	20746
122	2904	20706
123	2925	20665
124	2946	20625
125	2972	20615
126	2991	20561
127	3013	20530
128	3037	20506
129	3060	20479
130	3080	20433
131	3105	20423
132	3124	20368
133	3145	20328
134	3170	20314
135	3191	20274
136	3214	20249
137	3235	20209
138	3255	20164
139	3278	20136
140	3303	20122
141	3321	20067
142	3342	20031
143	3360	19978
144	3381	19940
145	3402	19903
146	3431	19909
147	3456	19897
148	3479	19874
149	3507	19875
150	3532	19863
151	3559	19856
152	3586	19856
153	3610	19836
154	3638	19833
155	3661	19809
156	3685	19790
157	3713	19787
158	3739	19777
159	3763	19758
160	3790	19750
161	3814	19729
162	3842	19728
163	3868	19717
164	3888	19678
165	3908	19635
166	3928	19596
167	3948	19555
168	3972	19534
169	3994	19502
170	4012	19453
171	4032	19413
172	4051	19367
173	4073	19336
174	4096	19310
175	4116	19271
176	4137	19238
177	4157	19197
178	4175	19149
179	4195	19112
180	4213	19066
181	4235	19036
182	4256	19003
183	4275	18960
184	4295	18924
185	4314	18882
186	4338	18863
187	4357	18822
188	4378	18788
189	4401	18763
190	4421	18727
191	4442	18695
192	4467	18680
193	4488	18647
194	4510	18619
195	4532	18594
196	4555	18570
197	4575	18534
198	4598	18511
199	4618	18473
200	4637	18435
201	4657	18401
202	4674	18354
203	4696	18325
204	4716	18292
205	4735	18253
206	4758	18227
207	4777	18192
208	4801	18173
209	4820	18134
210	4840	18100
211	4862	18072
212	4882	18038
213	4902	18008
214	4925	17982
215	4942	17941
216	4965	17918
217	4987	17890
218	5006	17853
219	5030	17834
220	5051	17804
221	5071	17771
222	5096	17758
223	5116	17726
224	5135	17689
225	5155	17656
226	5173	17615
227	5196	17594
228	5216	17562
229	5236	17532
230	5261	17516
231	5282	17486
232	5302	17454
233	5324	17429
234	5344	17397
235	5368	17380
236	5390	17353
237	5407	17314
238	5430	17290
239	5451	17264
240	5469	17226
241	5516	17278
242	5550	17289
243	5576	17278
244	5605	17273
245	5634	17269
246	5663	17264
247	5692	17259
248	5723	17262
249	5750	17252
250	5779	17247
251	5811	17249
252	5843	17253
253	5876	17260
254	5904	17250
255	5934	17246
256	5960	17232
257	5985	17214
258	6012	17201
259	6040	17193
260	6066	17176
261	6094	17166
262	6115	17136
263	6134	17101
264	6152	17065
265	6171	17029
266	6190	16994
267	6209	16959
268	6227	16924
269	6246	16889
270	6265	16854
271	6284	16820
272	6305	16790
273	6324	16757
274	6351	16744
275	6373	16719
276	6399	16704
277	6422	16681
278	6446	16659
279	6469	16635
280	6498	16626
281	6524	16610
282	6546	16586
283	6571	16567
284	6594	16544
285	6621	16531
286	6647	16515
287	6669	16487
288	6694	16471
289	6713	16437
290	6732	16402
291	6750	16366
292	6770	16336
293	6788	16301
294	6808	16271
295	6827	16239
296	6846	16204
297	6865	16172
298	6885	16144
299	6905	16112
300	6922	16076
301	6942	16045
302	6961	16013
303	6980	15981
304	6997	15944
305	7015	15911
306	7034	15878
307	7053	15846
308	7070	15810
309	7088	15776
310	7106	15743
311	7123	15707
312	7140	15672
313	7157	15637
314	7174	15601
315	7192	15569
316	7210	15536
317	7230	15505
318	7247	15471
319	7266	15440
320	7286	15412
321	7304	15379
322	7322	15348
323	7342	15318
324	7358	15283
