iter	Passed	Remaining
0	117	117580
1	118	59146
2	119	39695
3	120	29907
4	120	24019
5	121	20092
6	121	17273
7	122	15153
8	122	13504
9	123	12189
10	123	11110
11	124	10211
12	124	9449
13	124	8797
14	125	8244
15	126	7752
16	126	7315
17	126	6925
18	127	6585
19	128	6281
20	128	6011
21	129	5759
22	130	5522
23	130	5306
24	131	5123
25	132	4950
26	132	4792
27	133	4637
28	134	4493
29	134	4361
30	135	4235
31	136	4116
32	136	4005
33	137	3903
34	138	3807
35	138	3713
36	139	3624
37	139	3539
38	140	3459
39	140	3382
40	141	3309
41	141	3238
42	142	3173
43	143	3112
44	143	3053
45	144	2995
46	145	2940
47	145	2887
48	146	2836
49	146	2788
50	147	2741
51	148	2701
52	148	2660
53	149	2619
54	150	2579
55	150	2538
56	151	2498
57	151	2459
58	151	2422
59	152	2386
60	152	2352
61	153	2318
62	153	2285
63	154	2253
64	154	2223
65	155	2196
66	155	2169
67	156	2143
68	156	2117
69	157	2092
70	158	2068
71	158	2044
72	159	2021
73	159	1998
74	160	1976
75	160	1956
76	161	1935
77	162	1915
78	162	1896
79	163	1877
80	163	1858
81	164	1840
82	164	1820
83	165	1803
84	165	1786
85	166	1770
86	167	1755
87	168	1741
88	168	1726
89	169	1711
90	169	1696
91	170	1682
92	171	1667
93	171	1653
94	172	1639
95	172	1625
96	173	1613
97	173	1600
98	174	1587
99	175	1575
100	175	1563
101	176	1551
102	176	1539
103	177	1527
104	177	1515
105	178	1504
106	178	1493
107	179	1482
108	180	1472
109	180	1461
110	181	1449
111	181	1438
112	181	1427
113	182	1416
114	182	1406
115	183	1395
116	183	1384
117	183	1374
118	184	1364
119	184	1355
120	185	1347
121	186	1338
122	186	1330
123	187	1322
124	187	1314
125	188	1306
126	188	1297
127	189	1289
128	189	1282
129	190	1274
130	191	1267
131	191	1260
132	192	1253
133	192	1246
134	193	1239
135	194	1232
136	194	1225
137	195	1218
138	195	1212
139	196	1206
140	196	1199
141	197	1191
142	197	1186
143	198	1180
144	199	1174
145	199	1168
146	200	1162
147	200	1156
148	201	1149
149	201	1143
150	202	1137
151	202	1131
152	203	1126
153	204	1122
154	205	1117
155	205	1112
156	206	1106
157	206	1102
158	207	1096
159	207	1091
160	208	1085
161	209	1081
162	209	1076
163	210	1072
164	210	1067
165	211	1063
166	212	1058
167	212	1053
168	213	1048
169	213	1044
170	214	1039
171	214	1034
172	215	1030
173	216	1026
174	216	1021
175	217	1017
176	217	1012
177	218	1008
178	218	1004
179	219	1000
180	220	996
181	220	992
182	221	989
183	222	986
184	223	984
185	223	980
186	224	976
187	225	972
188	225	968
189	226	964
190	226	960
191	227	956
192	227	952
193	228	949
194	229	947
195	230	943
196	230	939
197	231	936
198	231	932
199	232	928
200	232	925
201	233	921
202	233	917
203	234	914
204	234	911
205	235	907
206	236	904
207	236	900
208	237	897
209	237	894
210	238	890
211	238	887
212	239	884
213	239	881
214	240	877
215	241	875
216	241	872
217	242	869
218	242	866
219	243	862
220	243	859
221	244	856
222	245	853
223	245	850
224	246	847
225	246	844
226	247	842
227	247	839
228	248	836
229	249	834
230	249	831
231	250	829
232	251	826
233	251	823
234	252	820
235	252	818
236	253	817
237	254	814
238	255	812
239	255	810
240	256	808
241	257	806
242	257	803
243	258	801
244	259	798
245	260	797
246	260	795
247	261	793
248	262	790
249	262	788
250	263	786
251	263	783
252	264	780
253	265	778
254	265	776
255	266	773
256	266	771
257	267	769
258	268	766
259	268	764
260	269	762
261	269	760
262	270	757
263	270	755
264	271	753
265	272	751
266	272	749
267	273	746
268	273	744
269	274	742
270	275	739
271	275	737
272	276	735
273	276	733
274	277	730
275	277	728
276	278	726
277	278	724
278	279	722
279	280	720
280	280	718
281	281	716
282	281	713
283	282	711
284	282	709
285	283	707
286	284	705
287	284	703
288	285	701
289	285	699
290	286	697
291	286	695
292	287	693
293	288	691
294	288	689
295	289	687
296	289	685
297	290	684
298	290	682
299	291	680
300	292	678
301	292	676
302	293	674
303	293	672
304	294	670
305	294	668
306	295	666
307	296	665
308	296	663
309	297	661
310	297	659
311	298	657
312	298	655
313	299	653
314	299	652
315	300	650
316	301	648
317	301	646
318	302	644
319	302	643
320	303	641
321	303	639
322	304	637
323	304	636
324	305	634
325	305	632
326	306	630
327	307	629
328	307	627
329	308	625
330	308	623
331	309	622
332	309	620
333	310	618
334	310	617
335	311	615
336	312	613
337	312	612
338	313	610
339	313	608
340	314	607
341	314	605
342	315	604
343	316	602
344	316	601
345	317	599
346	317	598
347	318	596
348	318	594
349	319	593
350	319	591
351	320	590
352	321	588
353	321	587
354	322	585
355	322	583
356	323	582
357	323	580
358	324	579
359	325	577
360	325	576
361	326	574
362	326	573
363	327	571
364	327	570
365	328	569
366	329	567
367	329	566
368	330	564
369	330	563
370	331	561
371	331	560
372	332	558
373	332	557
374	333	555
375	334	554
376	334	553
377	335	551
378	335	550
379	336	548
380	336	547
381	337	545
382	337	544
383	338	542
384	338	541
385	339	540
386	340	538
387	340	537
388	341	536
389	341	534
390	342	533
391	342	531
392	343	530
393	344	529
394	344	527
395	345	526
396	345	525
397	346	523
398	346	522
399	347	521
400	348	519
401	348	518
402	349	517
403	349	515
404	350	514
405	350	513
406	351	511
407	351	510
408	352	509
409	352	507
410	353	506
411	354	505
412	354	503
413	355	502
414	355	501
415	356	500
416	356	498
417	357	497
418	357	496
419	358	495
420	359	494
421	359	492
422	360	491
423	360	490
424	361	489
425	362	487
426	362	486
427	363	485
428	364	484
429	364	483
430	365	482
431	365	481
432	366	479
433	366	478
434	367	477
435	368	476
436	368	474
437	369	473
438	369	472
439	370	471
440	370	470
441	371	468
442	372	467
443	372	466
444	373	465
445	373	464
446	374	463
447	374	461
448	375	460
449	375	459
450	376	458
451	377	457
452	377	456
453	378	454
454	378	453
455	379	452
456	379	451
457	380	450
458	381	449
459	381	447
460	382	446
461	382	445
462	383	444
463	384	443
464	384	442
465	385	441
466	385	440
467	386	439
468	387	438
469	387	437
470	388	436
471	389	435
472	389	434
473	390	433
474	390	431
475	391	430
476	392	429
477	392	428
478	393	427
479	393	426
480	394	425
481	394	424
482	395	423
483	396	422
484	396	421
485	397	420
486	397	419
487	398	418
488	399	417
489	399	415
490	400	414
491	400	413
492	401	412
